ip,source,lineage,lat,lon,city,country,accuracy_radius,db_version,is_default_centroid,centroid_match,status,fetched_at_utc
node_01057,dbip_lite,dbip_lite,12.2451,109.194,Nha Trang,VN,,1780278471,False,,success,2026-06-04T08:29:42Z
node_01057,geojs,maxmind_geolite,10.822,106.6257,Ho Chi Minh City,VN,,,False,,success,2026-06-03T19:15:53Z
node_01057,ip2location_lite,ip2location_lite,10.75,106.666672,Ho Chi Minh City,VN,,1780555707,False,,success,2026-06-04T08:29:42Z
node_01057,ip_api,ipapi_com_unverified,10.822,106.6257,Ho Chi Minh City,VN,,,False,,success,2026-06-03T19:04:46Z
node_01057,ipapi_co,ipapi_co_unverified,,,,,,,False,,http_error,2026-06-04T08:29:42Z
node_01057,ipinfo,ipinfo,21.386,103.023,Dien Bien Phu,VN,,,False,,success,2026-06-04T08:29:41Z
node_01057,ipwho_is,ipwhois_unverified,12.2387911,109.1967488,Nha Trang,VN,,,False,,success,2026-06-03T19:04:46Z
node_01057,maxmind_geolite2,maxmind_geolite,10.822,106.6257,Ho Chi Minh City,VN,5,1780418264,False,,success,2026-06-04T08:29:42Z
node_01057,reallyfreegeoip,maxmind_geolite,22.394,103.5045,San Thàng,VN,,,False,,success,2026-06-04T08:29:41Z
node_00087,dbip_lite,dbip_lite,3.09657,101.677,Kuala Lumpur (Taman Desa),MY,,1780278471,False,,success,2026-06-04T08:10:18Z
node_00087,geojs,maxmind_geolite,2.5,112.5,,MY,,,True,no_city,success,2026-06-03T19:07:27Z
node_00087,ip2location_lite,ip2location_lite,42.69751,23.32415,Sofia,BG,,1780555707,False,,success,2026-06-04T08:10:18Z
node_00087,ip_api,ipapi_com_unverified,3.09657,101.677,Kuala Lumpur,MY,,,False,,success,2026-06-03T18:27:42Z
node_00087,ipapi_co,ipapi_co_unverified,,,,,,,False,,http_error,2026-06-04T08:10:17Z
node_00087,ipinfo,ipinfo,42.6975,23.3241,Sofia,BG,,,False,,success,2026-06-04T08:10:17Z
node_00087,ipwho_is,ipwhois_unverified,3.139003,101.686855,Kuala Lumpur,MY,,,False,,success,2026-06-03T18:27:42Z
node_00087,maxmind_geolite2,maxmind_geolite,2.5,112.5,,MY,1000,1780418264,True,no_city,success,2026-06-04T08:10:18Z
node_00087,reallyfreegeoip,maxmind_geolite,2.5,112.5,,MY,,,True,no_city,success,2026-06-03T19:07:27Z
node_01076,dbip_lite,dbip_lite,-26.2056,28.0337,Johannesburg,ZA,,1780278471,False,,success,2026-06-04T08:30:05Z
node_01076,geojs,maxmind_geolite,-26.2309,28.0583,Johannesburg,ZA,,,False,,success,2026-06-03T19:16:02Z
node_01076,ip2location_lite,ip2location_lite,-26.20225,28.04355,Johannesburg,ZA,,1780555707,False,,success,2026-06-04T08:30:05Z
node_01076,ip_api,ipapi_com_unverified,-26.2041,28.0473,Johannesburg,ZA,,,False,,success,2026-06-03T19:05:14Z
node_01076,ipapi_co,ipapi_co_unverified,,,,,,,False,,http_error,2026-06-04T08:30:04Z
node_01076,ipinfo,ipinfo,-26.2023,28.0436,Johannesburg,ZA,,,False,,success,2026-06-04T08:30:04Z
node_01076,ipwho_is,ipwhois_unverified,-26.2041028,28.0473051,Johannesburg,ZA,,,False,,success,2026-06-03T19:05:14Z
