ip,source,lineage,lat,lon,city,country,accuracy_radius,db_version,is_default_centroid,centroid_match,status,fetched_at_utc
node_02016,dbip_lite,dbip_lite,-38.1783,146.261,Yallourn,AU,,1780278471,False,,success,2026-06-07T14:33:57Z
node_02016,geojs,maxmind_geolite,-37.8159,144.9669,Melbourne,AU,,,False,,success,2026-06-07T14:33:56Z
node_02016,ip2location_lite,ip2location_lite,-37.814007,144.963165,Melbourne,AU,,1780555707,False,,success,2026-06-07T14:33:57Z
node_02016,ip_api,ipapi_com_unverified,-37.7906,144.9944,Melbourne,AU,,,False,,success,2026-06-07T14:33:55Z
node_02016,ipinfo,ipinfo,-37.814,144.9633,Melbourne,AU,,,False,,success,2026-06-07T14:33:56Z
node_02016,ipwho_is,ipwhois_unverified,-37.8136276,144.9630576,Melbourne,AU,,,False,,success,2026-06-07T14:33:56Z
node_02016,maxmind_geolite2,maxmind_geolite,-37.8159,144.9669,Melbourne,AU,50,1780418264,False,,success,2026-06-07T14:33:57Z
node_02016,reallyfreegeoip,maxmind_geolite,-37.8371,145.216,Melbourne,AU,,,False,,success,2026-06-07T14:33:57Z
node_02007,dbip_lite,dbip_lite,38.2462,21.7351,Pátrai,GR,,1780278471,False,,success,2026-06-07T14:33:39Z
node_02007,geojs,maxmind_geolite,37.9842,23.7353,Athens,GR,,,False,,success,2026-06-07T14:33:38Z
node_02007,ip2location_lite,ip2location_lite,38.827499,20.701941,Lefkada,GR,,1780555707,False,,success,2026-06-07T14:33:39Z
node_02007,ip_api,ipapi_com_unverified,38.7855,21.1142,Katoúna,GR,,,False,,success,2026-06-07T14:33:38Z
node_02007,ipinfo,ipinfo,37.9281,23.701,Palaió Fáliro,GR,,,False,,success,2026-06-07T14:33:38Z
node_02007,ipwho_is,ipwhois_unverified,38.7066464,20.64073,Lefkada,GR,,,False,,success,2026-06-07T14:33:38Z
node_02007,maxmind_geolite2,maxmind_geolite,37.9842,23.7353,Athens,GR,100,1780418264,False,,success,2026-06-07T14:33:39Z
node_02007,reallyfreegeoip,maxmind_geolite,37.9842,23.7353,Athens,GR,,,False,,success,2026-06-07T14:33:39Z
node_02010,dbip_lite,dbip_lite,37.0391,22.1126,Kalamata,GR,,1780278471,False,,success,2026-06-07T14:33:45Z
node_02010,geojs,maxmind_geolite,37.9667,23.7167,,GR,,,True,no_city,success,2026-06-07T14:33:44Z
node_02010,ip2location_lite,ip2location_lite,38.201939,20.431391,Lixourion,GR,,1780555707,False,,success,2026-06-07T14:33:45Z
node_02010,ip_api,ipapi_com_unverified,37.9842,23.7353,Athens,GR,,,False,,success,2026-06-07T14:33:44Z
node_02010,ipinfo,ipinfo,37.9838,23.7278,Athens,GR,,,False,,success,2026-06-07T14:33:44Z
node_02010,ipwho_is,ipwhois_unverified,37.0422371,22.1141264,Kalamata,GR,,,False,,success,2026-06-07T14:33:44Z
node_02010,maxmind_geolite2,maxmind_geolite,37.9667,23.7167,,GR,200,1780418264,True,no_city,success,2026-06-07T14:33:45Z
node_02010,reallyfreegeoip,maxmind_geolite,37.9673,23.7194,,GR,,,True,no_city,success,2026-06-07T14:33:45Z
node_01309,dbip_lite,dbip_lite,52.1275,5.06806,Oud-Zuilen,NL,,1780278471,False,,success,2026-06-07T14:33:50Z
node_01309,geojs,maxmind_geolite,52.3824,4.8995,,NL,,,True,no_city,success,2026-06-07T14:33:50Z
node_01309,ip2location_lite,ip2location_lite,52.218185,6.89578,Enschede,NL,,1780555707,False,,success,2026-06-07T14:33:50Z
node_01309,ip_api,ipapi_com_unverified,53.2192,6.56667,Groningen,NL,,,False,,success,2026-06-07T14:33:50Z
node_01309,ipinfo,ipinfo,52.0908,5.1222,Utrecht,NL,,,False,,success,2026-06-07T14:33:50Z
node_01309,ipwho_is,ipwhois_unverified,53.2193835,6.5665018,Groningen,NL,,,False,,success,2026-06-07T14:33:50Z
node_01309,maxmind_geolite2,maxmind_geolite,52.3824,4.8995,,NL,50,1780418264,True,no_city,success,2026-06-07T14:33:50Z
node_01309,reallyfreegeoip,maxmind_geolite,52.0394,5.6493,Ede,NL,,,False,,success,2026-06-07T14:33:50Z
node_02021,dbip_lite,dbip_lite,50.088,14.4208,Prague,CZ,,1780278471,False,,success,2026-06-07T14:34:06Z
node_02021,geojs,maxmind_geolite,50.0471,14.4523,Prague,CZ,,,False,,success,2026-06-07T14:34:05Z
node_02021,ip2location_lite,ip2location_lite,50.087936,14.420798,Prague,CZ,,1780555707,False,,success,2026-06-07T14:34:06Z
node_02021,ip_api,ipapi_com_unverified,50.0802,14.4652,Prague,CZ,,,False,,success,2026-06-07T14:34:04Z
node_02021,ipinfo,ipinfo,49.8347,18.282,Ostrava,CZ,,,False,,success,2026-06-07T14:34:05Z
node_02021,ipwho_is,ipwhois_unverified,50.0755381,14.4378005,Prague,CZ,,,False,,success,2026-06-07T14:34:05Z
node_02021,maxmind_geolite2,maxmind_geolite,50.0471,14.4523,Prague,CZ,100,1780418264,False,,success,2026-06-07T14:34:06Z
node_02021,reallyfreegeoip,maxmind_geolite,50.0761,14.4479,Prague,CZ,,,False,,success,2026-06-07T14:34:06Z
node_01992,dbip_lite,dbip_lite,-33.8369,151.206,North Sydney,AU,,1780278471,False,,success,2026-06-07T14:33:15Z
node_01992,geojs,maxmind_geolite,-33.894,151.2059,Sydney,AU,,,False,,success,2026-06-07T14:33:14Z
node_01992,ip2location_lite,ip2location_lite,-34.928661,138.598633,Adelaide,AU,,1780555707,False,,success,2026-06-07T14:33:15Z
node_01992,ip_api,ipapi_com_unverified,-33.7991,150.7829,Sydney,AU,,,False,,success,2026-06-07T14:33:14Z
node_01992,ipinfo,ipinfo,-33.8678,151.2073,Sydney,AU,,,False,,success,2026-06-07T14:33:14Z
node_01992,ipwho_is,ipwhois_unverified,-33.8688197,151.2092955,Sydney,AU,,,False,,success,2026-06-07T14:33:14Z
node_01992,maxmind_geolite2,maxmind_geolite,-33.894,151.2059,Sydney,AU,50,1780418264,False,,success,2026-06-07T14:33:15Z
node_01992,reallyfreegeoip,maxmind_geolite,-33.8983,150.995,Sydney,AU,,,False,,success,2026-06-07T14:33:15Z
node_02030,dbip_lite,dbip_lite,14.3122,121.111,Santa Rosa,PH,,1780278471,False,,success,2026-06-07T14:34:20Z
