ip,source,lineage,lat,lon,city,country,accuracy_radius,db_version,is_default_centroid,centroid_match,status,fetched_at_utc
node_02125,dbip_lite,dbip_lite,-37.862,144.77,Laverton,AU,,1780278471,False,,success,2026-08-01T09:23:50Z
node_02125,geojs,maxmind_geolite,-37.8846,145.1373,Melbourne,AU,,,False,,success,2026-08-01T09:23:50Z
node_02125,ip2location_lite,ip2location_lite,-37.814007,144.963165,Melbourne,AU,,1780555707,False,,success,2026-08-01T09:23:50Z
node_02125,ip_api,ipapi_com_unverified,-37.8201,144.9636,Melbourne,AU,,,False,,success,2026-08-01T09:23:48Z
node_02125,ipinfo,ipinfo,-37.814,144.9633,Melbourne,AU,,,False,,success,2026-08-01T09:23:50Z
node_02125,ipwho_is,ipwhois_unverified,-37.8135808,144.9625221,Melbourne,AU,,,False,,success,2026-08-01T09:23:49Z
node_02125,maxmind_geolite2,maxmind_geolite,-37.8391,145.0197,Melbourne,AU,50,1780418264,False,,success,2026-08-01T09:23:50Z
node_02125,reallyfreegeoip,maxmind_geolite,-37.8846,145.1373,Melbourne,AU,,,False,,success,2026-08-01T09:34:20Z
node_02114,dbip_lite,dbip_lite,-8.55861,125.574,Dili,TL,,1780278471,False,,success,2026-08-01T09:23:34Z
node_02114,geojs,maxmind_geolite,-8.5591,125.5766,Dili,TL,,,False,,success,2026-08-01T09:23:33Z
node_02114,ip2location_lite,ip2location_lite,-8.47111,126.458,Baucau,TL,,1780555707,False,,success,2026-08-01T09:23:34Z
node_02114,ip_api,ipapi_com_unverified,-8.5591,125.5766,Dili,TL,,,False,,success,2026-08-01T09:23:32Z
node_02114,ipinfo,ipinfo,-8.5586,125.5736,Dili,TL,,,False,,success,2026-08-01T09:23:33Z
node_02114,ipwho_is,ipwhois_unverified,-8.5858325,125.5673285,Vera Cruz,TL,,,False,,success,2026-08-01T09:23:33Z
node_02114,maxmind_geolite2,maxmind_geolite,-8.5716,125.5738,,TL,1000,1780418264,True,no_city,success,2026-08-01T09:23:34Z
node_02114,reallyfreegeoip,maxmind_geolite,-8.5592,125.5766,Dili,TL,,,False,,success,2026-08-01T09:23:33Z
node_02089,dbip_lite,dbip_lite,-8.55288,125.542,Dili,TL,,1780278471,False,,success,2026-08-01T09:22:55Z
node_02089,geojs,maxmind_geolite,-8.5591,125.5766,Dili,TL,,,False,,success,2026-08-01T09:22:54Z
node_02089,ip2location_lite,ip2location_lite,-8.55861,125.573608,Dili,TL,,1780555707,False,,success,2026-08-01T09:22:55Z
