anchor_id,ip,lat,lon,city,country,asn,hostname,is_disabled
node_01078,node_01078,52.3685,4.9375,,NL,1136,,False
node_01079,node_01079,55.5105,12.0175,,DK,44869,,False
node_01080,node_01080,48.1495,17.1105,,SK,2607,,False
node_01081,node_01081,37.3205,-121.9025,,US,7922,,False
node_01082,node_01082,48.8315,2.3585,,FR,12322,,False
node_01083,node_01083,50.9685,11.0185,,DE,16202,,False
node_01084,node_01084,56.5915,-2.6105,,GB,8851,,False
node_01085,node_01085,38.9875,-77.5195,,US,7922,,False
node_01086,node_01086,43.3175,-1.9825,,ES,12479,,False
node_01087,node_01087,50.9105,14.6085,,CZ,201116,,False
node_01088,node_01088,59.8705,10.6575,,NO,2119,,False
node_01089,node_01089,50.1095,8.6785,,DE,44066,,False
node_01090,node_01090,52.4395,4.8305,,NL,206238,,False
node_01091,node_01091,51.4895,-0.0005,,GB,5413,,False
node_01092,node_01092,49.6005,10.9485,,DE,51871,,False
node_01093,node_01093,40.1575,-8.1115,,PT,2860,,False
node_01094,node_01094,45.7905,3.6805,,FR,5410,,False
node_01095,node_01095,34.7315,135.7285,,JP,2500,,False
node_01096,node_01096,40.1105,-75.5205,,US,701,,False
node_01097,node_01097,24.7075,46.6715,,SA,41132,,False
node_01098,node_01098,52.3675,4.8975,,NL,33915,,False
node_01099,node_01099,50.0285,14.6585,,CZ,200635,,False
node_01100,node_01100,53.4875,9.9895,,DE,3320,,False
node_01101,node_01101,39.4905,-74.4285,,US,7922,,False
node_01102,node_01102,38.6495,-78.6705,,US,4922,,False
node_01103,node_01103,51.3295,7.9995,,DE,8881,,False
node_01104,node_01104,67.3615,26.6315,,FI,1741,,False
node_01105,node_01105,59.2015,18.1295,,SE,8434,,False
node_01106,node_01106,32.2195,-110.9325,,US,6373,,False
node_01107,node_01107,52.3495,4.9615,,NL,1103,,False
node_01108,node_01108,55.1685,30.2075,,BY,50929,,False
node_01109,node_01109,55.4385,65.3405,,RU,56330,,False
node_01110,node_01110,-38.0215,175.3105,,NZ,4771,,False
node_01111,node_01111,53.7895,-1.3795,,GB,212655,,False
node_01112,node_01112,50.7405,7.1005,,DE,8422,,False
node_01113,node_01113,48.7805,2.3785,,FR,41690,,False
node_01114,node_01114,-8.1105,-34.9225,,BR,262792,,False
node_01115,node_01115,46.0605,18.2175,,HU,20845,,False
node_01116,node_01116,59.6105,30.1685,,RU,43966,,False
node_01117,node_01117,47.4575,19.0415,,HU,5483,,False
node_01118,node_01118,52.2415,5.9575,,NL,206238,,False
node_01119,node_01119,45.1785,5.7585,,FR,3215,,False
node_01120,node_01120,41.9005,12.5005,,IT,57329,,False
node_01121,node_01121,65.7385,24.5705,,FI,202246,,False
node_01122,node_01122,-25.4485,-49.2325,,BR,10881,,False
node_01123,node_01123,-43.5605,172.5675,,NZ,9790,,False
node_01124,node_01124,49.3905,8.7875,,DE,3209,,False
node_01125,node_01125,48.2375,3.9885,,FR,12322,,False
node_01126,node_01126,55.9175,37.8195,,RU,12714,,False
node_01127,node_01127,50.7695,12.0575,,DE,3320,,False
node_01128,node_01128,47.2405,-1.5525,,FR,12322,,False
node_01129,node_01129,55.1715,-1.6885,,GB,20712,,False
