anchor_id,ip,lat,lon,city,country,asn,hostname,is_disabled
node_01977,node_01977,56.9605,24.0515,,LV,12578,,False
node_01978,node_01978,37.2915,23.1685,,GR,3329,,False
node_01979,node_01979,59.7085,10.6185,,NO,25400,,False
node_01094,node_01094,45.7905,3.6805,,FR,5410,,False
node_01980,node_01980,56.5975,24.2075,,LV,24921,,False
node_01981,node_01981,57.0815,60.5895,,RU,12389,,False
node_01982,node_01982,29.3605,47.9815,,KW,29357,,False
node_01983,node_01983,50.9815,5.8275,,NL,33915,,False
node_01984,node_01984,42.2705,23.5405,,BG,8866,,False
node_01985,node_01985,45.8975,10.8485,,IT,30722,,False
node_01986,node_01986,46.0805,11.1615,,IT,1267,,False
node_01987,node_01987,46.1005,11.1105,,IT,30722,,False
node_01988,node_01988,53.0275,18.8075,,PL,5617,,False
node_01989,node_01989,45.8895,11.0305,,IT,30722,,False
node_01990,node_01990,40.7405,-74.0015,,US,20057,,False
node_01991,node_01991,60.8985,26.9195,,FI,16086,,False
node_01992,node_01992,-33.8985,150.8915,,AU,133612,,False
node_01993,node_01993,42.2705,23.5385,,BG,12716,,False
node_01994,node_01994,61.2015,26.0205,,FI,1759,,False
node_01995,node_01995,48.9075,13.8695,,CZ,13036,,False
node_01996,node_01996,56.0685,12.0915,,DK,216275,,False
node_01997,node_01997,48.4785,16.5885,,AT,8447,,False
node_01998,node_01998,59.6585,17.4005,,SE,3301,,False
node_01234,node_01234,33.9475,-118.4525,,US,21928,,False
node_01999,node_01999,56.4115,24.1985,,LV,24921,,False
node_02000,node_02000,60.0495,24.5815,,FI,16086,,False
node_02001,node_02001,56.9675,24.1685,,LV,24921,,False
node_02002,node_02002,47.2175,8.8195,,CH,3303,,False
node_02003,node_02003,50.8385,8.7615,,DE,6805,,False
node_02004,node_02004,-20.9525,55.3395,,RE,327697,,False
node_02005,node_02005,47.1115,15.7015,,AT,204410,,False
node_02006,node_02006,55.6915,12.5885,,DK,3308,,False
node_02007,node_02007,35.2095,26.1075,,GR,29247,,False
node_01286,node_01286,36.2775,-95.8295,,US,22773,,False
node_02008,node_02008,40.8015,-73.9725,,US,6167,,False
node_02009,node_02009,51.4985,0.0215,,GB,206067,,False
node_02010,node_02010,38.1895,20.3775,,GR,29247,,False
node_02011,node_02011,52.1675,6.1375,,NL,31615,,False
node_02012,node_02012,41.9495,-88.2525,,US,21928,,False
node_02013,node_02013,59.1785,10.8305,,NO,2119,,False
node_01309,node_01309,52.1675,6.1405,,NL,33915,,False
node_02014,node_02014,34.7215,33.0785,,CY,6866,,False
node_02015,node_02015,44.7795,-93.2085,,US,21928,,False
node_01333,node_01333,44.8805,-91.9185,,US,21928,,False
node_02016,node_02016,-42.8915,147.3185,,AU,1221,,False
node_02017,node_02017,39.3975,-121.2315,,US,21928,,False
node_02018,node_02018,38.9385,-7.9425,,PT,42863,,False
node_02019,node_02019,47.4475,-122.0985,,US,21928,,False
node_02020,node_02020,33.0805,-117.3115,,US,22773,,False
node_01401,node_01401,52.1685,6.1405,,NL,31615,,False
node_02021,node_02021,50.0715,14.3975,,CZ,5610,,False
node_02022,node_02022,52.9385,1.2715,,GB,2856,,False
node_02023,node_02023,48.2415,16.4105,,AT,8437,,False
node_02024,node_02024,1.4405,103.6405,,MY,45960,,False
node_02025,node_02025,52.0785,7.0015,,DE,8899,,False
node_02026,node_02026,47.0605,15.4375,,AT,8412,,False
node_02027,node_02027,48.1375,11.5785,,DE,3320,,False
node_02028,node_02028,48.3995,16.4875,,AT,8412,,False
node_02029,node_02029,16.7785,121.0915,,PH,139831,,False
node_02030,node_02030,13.7115,123.2005,,PH,139831,,False
node_02029,node_02029,16.3015,121.0305,,PH,139831,,False
