ip,tags
node_02031,fibre;home;nat;ipv4;ftth;system-v1;system-resolves-a-correctly;system-doesnt-resolve-aaaa;system-ipv4-works;system-ipv4-capable;system-ipv4-rfc1918;system-ipv4-stable-30d;system-ipv4-stable-90d;system-ipv4-stable-1d;t-mobile;dnsfiltered;quad9;blocky;cloudflare-2
node_02032,home;nat;native-ipv6;dual-stack;ipv4;ipv6;wireless-isp;system-v1;system-ipv4-works;system-ipv6-works;system-ipv4-capable;system-ipv6-capable;system-ipv4-rfc1918;4g;nbn;system-ipv6-stable-30d;system-ipv6-stable-1d;system-ipv4-stable-30d;system-ipv4-stable-90d;system-ipv6-stable-90d;system-ipv4-stable-1d;fixed-wireless-2;internode
node_01977,mobile;home;nat;ipv4;system-v1;system-resolves-a-correctly;system-resolves-aaaa-correctly;system-ipv4-works;system-ipv4-capable;system-ipv4-rfc1918;system-ipv4-stable-30d;system-ipv4-stable-90d;system-ipv4-stable-1d
node_02033,dsl;home;nat;ipv6-tunnel;vdsl;ipv4;ipv6;system-v1;system-resolves-a-correctly;system-resolves-aaaa-correctly;system-ipv4-works;system-ipv6-works;telekom;system-ipv4-capable;system-ipv6-capable;system-ipv4-rfc1918;system-ipv6-stable-30d;system-ipv6-stable-1d;system-ipv4-stable-30d;system-ipv4-stable-90d;system-ipv6-stable-90d;system-ipv4-stable-1d;5g
node_02034,mobile;home;nat;system-v2;system-resolves-a-correctly;system-resolves-aaaa-correctly;system-ipv4-works;system-ipv6-works;system-ipv4-capable;system-ipv6-capable;system-ipv4-rfc1918;system-ipv6-stable-30d;system-ipv6-stable-1d;system-ipv4-stable-30d;system-ipv4-stable-90d;system-ipv6-stable-90d;system-ipv4-stable-1d
node_02035,mobile;nat;system-v2;system-ipv4-capable;system-ipv6-capable;system-ipv4-rfc1918
node_02036,mobile;home;nat;3g;ipv4;double-nat;system-v2;system-resolves-a-correctly;system-resolves-aaaa-correctly;system-ipv4-works;system-ipv6-works;lte;system-ipv4-capable;system-ipv6-capable;system-ipv4-rfc1918;4g;system-ipv6-stable-30d;system-ipv6-stable-1d;system-ipv4-stable-30d;system-ipv4-stable-90d;system-ipv6-stable-90d;system-ipv4-stable-1d;lmt
node_02037,ipv4;ipv6;wireless-isp;system-v2;system-resolves-a-correctly;system-resolves-aaaa-correctly;system-ipv4-works;system-ipv6-works;lte;system-ipv4-capable;system-ipv6-capable;system-ipv4-rfc1918;system-ipv6-stable-1d;system-ipv4-stable-1d
node_02038,datacentre;core;ipv4;ipv6;isp;system-v2;lte;system-ipv4-capable;4g;5g
node_02039,home;nat;ipv4;system-v3;system-resolves-a-correctly;system-resolves-aaaa-correctly;system-ipv4-works;lte;native-ipv4;system-ipv4-capable;system-ipv4-rfc1918;system-ipv4-stable-30d;system-ipv4-stable-1d
node_02040,mobile;office;nat;ipv4;ipv6;system-v3;system-resolves-a-correctly;system-resolves-aaaa-correctly;system-ipv4-works;system-ipv6-doesnt-work;system-ipv4-capable;system-ipv6-capable;system-ipv6-ula;system-ipv4-rfc1918;ipv6nat;4g;system-ipv6-stable-30d;system-ipv6-stable-1d;system-ipv4-stable-30d;system-ipv4-stable-90d;system-ipv6-stable-90d;system-ipv4-stable-1d;5g
node_02041,mobile;nat;ipv4;double-nat;isp;system-v3;system-resolves-a-correctly;system-resolves-aaaa-correctly;system-ipv4-works;cgn;lte;system-ipv4-capable;system-ipv4-rfc1918;4g;system-ipv4-stable-30d;system-ipv4-stable-90d;system-ipv4-stable-1d;apn-livevodafonecom
node_02042,home;nat;ipv4;double-nat;system-v3;system-resolves-a-correctly;system-resolves-aaaa-correctly;system-ipv4-works;system-ipv6-works;native-ipv4;system-ipv4-capable;system-ipv6-capable;system-ipv4-rfc1918;4g;probe-v3;system-ipv6-stable-30d;system-ipv6-stable-1d;system-ipv4-stable-30d;system-ipv4-stable-90d;system-ipv6-stable-90d;system-ipv4-stable-1d;5g
node_02043,fibre;home;ipv4;ftth;isp;system-v3;system-resolves-a-correctly;system-resolves-aaaa-correctly;system-ipv4-works;gpon;native-ipv4;system-ipv4-capable;system-ipv6-capable;system-ipv6-ula;system-ipv4-rfc1918;kpn;system-ipv4-stable-30d;system-ipv4-stable-90d;system-ipv4-stable-1d;t-mobile
node_02044,mobile;home;nat;ipv4;system-v3;system-resolves-a-correctly;system-resolves-aaaa-correctly;system-ipv4-works;native-ipv4;system-ipv4-capable;system-ipv4-rfc1918;4g;system-ipv4-stable-30d;system-ipv4-stable-90d;system-ipv4-stable-1d
node_02045,system-v3;system-resolves-a-correctly;system-resolves-aaaa-correctly;system-ipv4-works;lte;system-ipv4-capable;system-ipv6-capable;system-ipv6-ula;system-ipv4-rfc1918;system-ipv4-stable-30d;system-ipv4-stable-90d;system-ipv4-stable-1d
node_02046,home;ipv4;ipv6;wireless-isp;system-v3;system-resolves-a-correctly;system-resolves-aaaa-correctly;system-ipv4-works;lte;system-ipv4-capable;system-ipv4-rfc1918;system-ipv4-stable-30d;system-ipv4-stable-90d;system-ipv4-stable-1d;t-mobile
node_02047,fibre;home;native-ipv6;ipv4;ipv6;vdsl2;ftth;free;system-v3;system-resolves-a-correctly;system-resolves-aaaa-correctly;system-ipv4-works;system-ipv6-works;system-ipv4-capable;system-ipv6-capable;system-ipv4-rfc1918;4g;system-ipv6-stable-30d;system-ipv6-stable-1d;system-ipv4-stable-30d;system-ipv4-stable-90d;system-ipv6-stable-90d;system-ipv4-stable-1d
node_02048,mobile;system-v3;system-resolves-a-correctly;system-resolves-aaaa-correctly;system-ipv4-works;lte;system-ipv4-capable;system-ipv4-rfc1918;system-ipv4-stable-30d;system-ipv4-stable-90d;system-ipv4-stable-1d;cetin-adsl-bond
node_02049,home;nat;nat64;6to4;system-v3;system-resolves-a-correctly;system-resolves-aaaa-correctly;system-ipv4-works;known-ipv4-issues;lte;system-ipv4-capable;system-ipv6-capable;system-ipv6-ula;system-ipv4-rfc1918;4g;system-ipv4-stable-30d;system-ipv4-stable-90d;system-ipv4-stable-1d
node_02050,mobile;office;nat;3g;ipv4;double-nat;vodafone;system-v3;system-resolves-a-correctly;system-resolves-aaaa-correctly;system-ipv4-works;lte;system-ipv4-capable;system-ipv4-rfc1918;4g;system-ipv4-stable-30d;system-ipv4-stable-1d
node_02051,mobile;office;3g;double-nat;vodafone;system-v3;system-resolves-a-correctly;system-resolves-aaaa-correctly;system-ipv4-works;lte;system-ipv4-capable;system-ipv4-rfc1918;4g;system-ipv4-stable-30d;system-ipv4-stable-90d;system-ipv4-stable-1d
node_02052,mobile;home;nat;ipv4;ipv6;system-v3;system-resolves-a-correctly;system-resolves-aaaa-correctly;system-ipv4-works;system-ipv4-capable;system-ipv6-capable;system-ipv6-ula;system-ipv4-rfc1918;system-ipv4-stable-30d;system-ipv4-stable-90d;system-ipv4-stable-1d
node_02053,mobile;office;nat;3g;ipv4;double-nat;vodafone;system-v3;system-resolves-a-correctly;system-resolves-aaaa-correctly;system-ipv4-works;lte;system-ipv4-capable;system-ipv4-rfc1918;4g;system-ipv4-stable-30d;system-ipv4-stable-90d;system-ipv4-stable-1d
