anchor_id,ip,lat,lon,city,country,asn,hostname,is_disabled
node_02200,node_02200,41.8995,12.4375,,IT,29447,,False
node_02201,node_02201,52.0075,5.9585,,NL,1136,,False
node_02202,node_02202,35.9515,-115.0215,,US,22773,,False
node_02203,node_02203,32.8885,-117.1815,,US,20001,,False
node_02204,node_02204,52.4005,4.8885,,NL,213279,,False
node_02205,node_02205,59.3075,18.0295,,SE,8434,,False
node_02206,node_02206,-33.6125,-70.9005,,CL,27901,,False
node_02207,node_02207,51.3695,1.1095,,GB,20712,,False
node_02208,node_02208,49.1475,9.2915,,DE,3209,,False
node_02209,node_02209,52.0285,5.6215,,NL,12859,,False
node_02210,node_02210,55.9395,-3.1885,,GB,6871,,False
node_02211,node_02211,32.7195,-117.1615,,US,20001,,False
node_02212,node_02212,50.4205,30.4585,,UA,29067,,False
node_02213,node_02213,53.3705,-6.2715,,IE,6830,,False
node_02214,node_02214,47.3875,8.5195,,CH,3303,,False
node_02215,node_02215,43.6705,7.1515,,FR,3215,,False
node_02216,node_02216,45.0475,9.7375,,IT,201333,,False
node_02217,node_02217,-27.4815,152.9975,,AU,134090,,False
node_02218,node_02218,51.5115,-0.1325,,GB,20712,,False
node_02219,node_02219,50.7715,15.0675,,CZ,2852,,False
node_02220,node_02220,-31.2915,-64.3005,,AR,7303,,False
node_02221,node_02221,53.8285,-1.4595,,GB,34555,,False
node_02222,node_02222,49.1475,-121.8185,,CA,852,,False
node_02223,node_02223,58.5295,11.5815,,SE,1257,,False
node_02224,node_02224,55.5915,12.5915,,DK,203953,,False
node_02225,node_02225,13.5115,144.8185,,GU,3605,,False
node_02226,node_02226,53.2885,-6.2795,,IE,5607,,False
node_02227,node_02227,52.1975,0.1305,,GB,20712,,False
node_02228,node_02228,57.7685,12.2605,,SE,1257,,False
node_02229,node_02229,59.4815,18.3205,,SE,3301,,False
node_02230,node_02230,28.4995,77.0915,,IN,9498,,False
node_02231,node_02231,59.3415,18.0385,,SE,12381,,False
node_02232,node_02232,51.9675,-0.7715,,GB,20712,,False
node_02233,node_02233,50.7815,5.7985,,NL,33915,,False
node_02234,node_02234,48.7485,2.0595,,FR,3215,,False
node_02235,node_02235,42.8515,13.6295,,IT,29449,,False
node_02236,node_02236,52.4995,4.8105,,NL,206238,,False
node_02237,node_02237,36.7995,10.1675,,TN,2609,,False
node_02238,node_02238,45.0395,38.9695,,RU,202486,,False
node_02239,node_02239,49.5885,6.1705,,LU,204279,,False
node_02240,node_02240,35.1085,33.3715,,CY,6866,,False
node_02241,node_02241,40.2685,44.6315,,AM,49800,,False
node_02242,node_02242,48.2095,34.8775,,UA,211621,,False
node_02243,node_02243,37.5375,15.0975,,IT,47408,,False
node_02244,node_02244,42.9605,12.7075,,IT,15605,,False
node_02245,node_02245,46.7515,15.4275,,AT,14593,,False
node_02246,node_02246,46.5175,6.6085,,CH,6893,,False
node_02247,node_02247,43.6115,3.8785,,FR,50620,,False
node_02248,node_02248,43.2395,76.9295,,KZ,25534,,False
node_02249,node_02249,44.4075,8.9395,,IT,12874,,False
node_02250,node_02250,42.1385,19.0495,,ME,8585,,False
node_02251,node_02251,47.2705,11.3995,,AT,1853,,False
node_02252,node_02252,51.5405,31.2695,,UA,34814,,False
node_02253,node_02253,52.1505,4.9505,,NL,1136,,False
node_02254,node_02254,42.7295,23.2905,,BG,42431,,False
node_02255,node_02255,42.7005,23.3105,,BG,8866,,False
node_02256,node_02256,54.6805,25.2915,,LT,5479,,False
node_02257,node_02257,50.4415,30.5115,,UA,8772,,False
node_02258,node_02258,46.6795,7.8375,,CH,21466,,False
node_02259,node_02259,59.4395,24.7075,,EE,3327,,False
node_02260,node_02260,50.2405,11.7175,,DE,3320,,False
node_02261,node_02261,38.7595,-9.1215,,PT,1930,,False
node_02262,node_02262,35.1605,33.3595,,CY,39935,,False
node_02263,node_02263,59.4275,24.7195,,EE,8728,,False
node_02264,node_02264,51.5185,-0.0005,,GB,43950,,False
node_02265,node_02265,63.4295,10.3695,,NO,2116,,False
node_02266,node_02266,56.1285,8.9805,,DK,203953,,False
node_02267,node_02267,47.5195,19.0605,,HU,1955,,False
node_02268,node_02268,47.2005,7.5305,,CH,9044,,False
node_02269,node_02269,53.8215,-2.6995,,GB,42009,,False
node_02270,node_02270,45.6395,9.8905,,IT,50877,,False
node_02271,node_02271,48.5475,7.7715,,FR,12322,,False
node_02272,node_02272,46.8275,-92.0425,,US,20115,,False
node_02273,node_02273,50.2715,18.8685,,PL,30851,,False
node_02274,node_02274,50.6915,15.2985,,CZ,202895,,False
node_02275,node_02275,59.4385,5.2695,,NO,29695,,False
node_02276,node_02276,57.7005,12.1995,,SE,8473,,False
node_02277,node_02277,53.2475,-6.2105,,IE,60277,,False
node_02278,node_02278,44.4885,11.3195,,IT,210218,,False
node_02279,node_02279,51.5015,-0.0105,,GB,31712,,False
node_02280,node_02280,58.1775,68.2505,,RU,12389,,False
node_02281,node_02281,58.9015,17.5605,,SE,8473,,False
node_02282,node_02282,48.7285,9.1115,,DE,12502,,False
node_02283,node_02283,56.9215,24.1415,,LV,47814,,False
node_02284,node_02284,47.2775,11.5015,,AT,34347,,False
node_02285,node_02285,50.8675,11.8675,,DE,8881,,False
node_02286,node_02286,53.1675,8.6075,,DE,9145,,False
node_02287,node_02287,42.3585,13.3875,,IT,43989,,False
node_02288,node_02288,59.6595,18.2675,,SE,33885,,False
node_02289,node_02289,52.1405,8.5275,,DE,9145,,False
node_02290,node_02290,51.6815,-1.4415,,GB,212109,,False
node_02291,node_02291,47.9415,13.0685,,AT,8445,,False
node_02292,node_02292,52.3605,5.6495,,NL,34612,,False
node_02293,node_02293,52.3595,5.6505,,NL,34612,,False
node_02294,node_02294,43.6005,1.4415,,FR,3215,,False
node_02295,node_02295,51.2375,-0.2485,,GB,5607,,False
node_02296,node_02296,51.3715,12.3715,,DE,3320,,False
node_02297,node_02297,52.8015,6.9315,,NL,1136,,False
node_02298,node_02298,-27.4225,153.0275,,AU,1221,,False
node_02299,node_02299,-41.2685,174.7675,,NZ,56030,,False
node_02300,node_02300,-41.2925,174.7695,,NZ,132003,,False
node_02301,node_02301,47.6615,-122.5705,,US,7922,,False
node_02302,node_02302,-27.5285,153.2005,,AU,38195,,False
node_02303,node_02303,56.5885,-2.6085,,GB,13285,,False
node_02304,node_02304,-27.5005,153.1215,,AU,38195,,False
node_02305,node_02305,60.7415,-135.0925,,CA,6058,,False
node_02306,node_02306,32.9775,-96.7315,,US,7018,,False
node_02307,node_02307,39.1005,-84.6115,,US,6181,,False
node_02308,node_02308,40.2185,-75.4005,,US,7922,,False
node_02309,node_02309,38.9915,-76.9395,,US,27,,False
node_02310,node_02310,45.5175,-122.8995,,US,20055,,False
node_02311,node_02311,43.6875,-79.5385,,CA,577,,False
node_02312,node_02312,37.3515,-121.9485,,US,7922,,False
node_02313,node_02313,48.7785,9.1775,,DE,3320,,False
node_02314,node_02314,51.5695,0.3985,,GB,2856,,False
node_02315,node_02315,49.4305,16.5395,,CZ,206703,,False
node_02316,node_02316,48.8615,2.3905,,FR,12322,,False
node_02317,node_02317,50.8805,4.5005,,BE,39923,,False
node_02318,node_02318,53.7285,9.9275,,DE,15943,,False
node_02319,node_02319,51.7495,0.1375,,GB,5089,,False
node_02320,node_02320,-33.9985,151.0675,,AU,38195,,False
node_02321,node_02321,59.3485,18.0185,,SE,8473,,False
node_02322,node_02322,53.5605,9.9085,,DE,52088,,False
node_02323,node_02323,50.0785,14.4695,,CZ,48417,,False
node_02324,node_02324,50.1285,8.9295,,DE,8881,,False
node_02325,node_02325,52.4575,13.5795,,DE,3320,,False
node_02326,node_02326,47.3905,18.9015,,HU,20845,,False
node_02327,node_02327,50.0315,14.2415,,CZ,29208,,False
node_02328,node_02328,52.5485,4.9085,,NL,1136,,False
node_02329,node_02329,48.8915,2.1485,,FR,12322,,False
node_02330,node_02330,53.5515,9.9895,,DE,20694,,False
node_02331,node_02331,48.4405,10.0475,,DE,48284,,False
node_02332,node_02332,37.9675,-1.2215,,ES,200845,,False
node_02333,node_02333,50.8105,7.1175,,DE,3209,,False
node_02334,node_02334,52.0905,4.2895,,NL,33915,,False
node_02335,node_02335,52.8385,0.1715,,GB,20712,,False
node_02336,node_02336,49.3515,8.1475,,DE,39351,,False
node_02337,node_02337,34.0775,-118.1225,,US,7018,,False
node_02338,node_02338,55.8915,-4.3115,,GB,20712,,False
node_02339,node_02339,-34.0825,150.8405,,AU,4764,,False
node_02340,node_02340,55.7185,13.2415,,SE,8473,,False
node_02341,node_02341,41.8175,3.0685,,ES,216392,,False
node_02342,node_02342,56.4595,84.9605,,RU,5567,,False
