ip,tags
node_02200,system-v1;system-resolves-a-correctly;system-resolves-aaaa-correctly;system-ipv4-works;system-ipv6-works;system-ipv4-capable;system-ipv6-capable;system-ipv4-rfc1918;system-ipv6-stable-30d;system-ipv6-stable-1d;system-ipv4-stable-30d;system-ipv4-stable-90d;system-ipv6-stable-90d;system-ipv4-stable-1d
node_02201,home;nat;system-v1;system-resolves-a-correctly;system-resolves-aaaa-correctly;system-ipv4-works;system-ipv6-works;system-ipv4-capable;system-ipv6-capable;system-ipv4-rfc1918;system-ipv6-stable-30d;system-ipv6-stable-1d;system-ipv4-stable-30d;system-ipv4-stable-90d;system-ipv6-stable-90d;system-ipv4-stable-1d
node_02202,home;nat;native-ipv6;ipv4;ipv6;system-v1;system-resolves-a-correctly;system-resolves-aaaa-correctly;system-ipv4-works;system-ipv6-works;iwantbcp38compliancetesting;system-ipv4-capable;system-ipv6-capable;system-ipv4-rfc1918;system-ipv6-stable-30d;system-ipv6-stable-1d;system-ipv4-stable-30d;system-ipv4-stable-90d;system-ipv6-stable-90d;system-ipv4-stable-1d;system-firewall-problem-suspected
node_02203,cable;home;nat;native-ipv6;twc;ipv4;ipv6;system-v1;system-resolves-a-correctly;system-resolves-aaaa-correctly;system-ipv4-works;iwantbcp38compliancetesting;system-ipv4-capable;system-ipv4-rfc1918;wi-fi;system-ipv4-stable-30d;system-ipv4-stable-90d;system-ipv4-stable-1d
node_02204,native-ipv6;ipv4;ipv6;multihomed;system-v1;system-resolves-a-correctly;system-resolves-aaaa-correctly;system-ipv4-works;system-ipv6-works;native-ipv4;system-ipv4-capable;system-ipv6-capable;homelab;system-ipv6-stable-30d;system-ipv6-stable-1d;system-ipv4-stable-30d;system-ipv4-stable-90d;system-ipv6-stable-90d;system-ipv4-stable-1d;-8
node_02205,fibre;home;nat;system-v1;system-resolves-a-correctly;system-resolves-aaaa-correctly;system-ipv4-works;iwantbcp38compliancetesting;system-ipv4-capable;system-ipv4-rfc1918;system-ipv4-stable-30d;system-ipv4-stable-90d;system-ipv4-stable-1d
node_02206,fibre;home;nat;ipv4;ipv6;system-v1;system-resolves-a-correctly;system-ipv4-doesnt-work;system-ipv6-works;system-ipv4-capable;system-ipv6-capable;system-ipv4-rfc1918;system-ipv6-stable-30d;system-ipv6-stable-1d;system-ipv4-stable-30d;system-ipv4-stable-90d;system-ipv6-stable-90d
node_02207,fibre;home;no-nat;ipv4;system-v1;system-resolves-a-correctly;system-resolves-aaaa-correctly;system-ipv4-works;system-ipv4-capable;system-ipv6-capable;system-ipv6-ula;system-ipv4-stable-30d;system-ipv4-stable-90d;system-ipv4-stable-1d
node_02208,home;nat;system-v1;system-resolves-a-correctly;system-resolves-aaaa-correctly;system-ipv4-works;system-ipv6-works;system-ipv4-capable;system-ipv6-capable;system-ipv4-rfc1918;system-ipv6-stable-30d;system-ipv6-stable-1d;system-ipv4-stable-30d;system-ipv4-stable-90d;system-ipv6-stable-90d;system-ipv4-stable-1d
node_02209,nat;system-v1;system-resolves-a-correctly;system-resolves-aaaa-correctly;system-ipv4-works;system-ipv6-works;system-ipv4-capable;system-ipv6-capable;system-ipv4-rfc1918;system-ipv6-stable-30d;system-ipv6-stable-1d;system-ipv4-stable-30d;system-ipv4-stable-90d;system-ipv6-stable-90d;system-ipv4-stable-1d
node_02210,home;nat;system-v1;system-resolves-a-correctly;system-resolves-aaaa-correctly;system-ipv4-works;system-ipv4-capable;system-ipv4-rfc1918;system-ipv4-stable-30d;system-ipv4-stable-1d
node_02211,home;nat;system-v1;system-ipv4-works;system-ipv6-works;system-ipv4-capable;system-ipv6-capable;system-ipv4-rfc1918;system-ipv6-stable-30d;system-ipv6-stable-1d;system-ipv4-stable-30d;system-ipv4-stable-90d;system-ipv6-stable-90d;system-ipv4-stable-1d;system-firewall-problem-suspected
node_02212,office;no-nat;system-v1;system-resolves-a-correctly;system-resolves-aaaa-correctly;system-ipv4-works;system-ipv4-capable;system-ipv4-stable-30d;system-ipv4-stable-90d;system-ipv4-stable-1d
node_02213,cable;office;nat;upc;system-v1;system-resolves-a-correctly;system-resolves-aaaa-correctly;system-ipv4-works;iwantbcp38compliancetesting;system-ipv4-capable;system-ipv4-rfc1918;system-ipv4-stable-30d;system-ipv4-stable-90d;system-ipv4-stable-1d
node_02214,no-nat;system-v1;system-doesnt-resolve-aaaa;system-ipv4-works;system-ipv4-capable;system-ipv4-rfc1918;system-ipv4-stable-30d;system-ipv4-stable-90d;system-ipv4-stable-1d;system-firewall-problem-suspected
node_02215,fibre;home;nat;system-v1;system-resolves-a-correctly;system-resolves-aaaa-correctly;system-ipv4-works;system-ipv6-works;iwantbcp38compliancetesting;system-ipv4-capable;system-ipv6-capable;system-ipv4-rfc1918;system-ipv6-stable-30d;system-ipv6-stable-1d;system-ipv4-stable-30d;system-ipv4-stable-90d;system-ipv6-stable-90d;system-ipv4-stable-1d
node_02216,datacentre;ipv4;ipv6;multihomed;isp;system-v1;system-doesnt-resolve-aaaa;system-ipv4-works;system-ipv6-works;system-ipv4-capable;system-ipv6-capable;system-ipv6-stable-30d;system-ipv6-stable-1d;system-ipv4-stable-30d;system-ipv4-stable-90d;system-ipv6-stable-90d;system-ipv4-stable-1d
node_02217,fibre;home;nat;native-ipv6;ipv4;ipv6;system-v1;system-resolves-a-correctly;system-doesnt-resolve-aaaa;system-ipv4-works;system-ipv6-works;known-ipv4-issues;known-ipv6-issues;iwantbcp38compliancetesting;system-ipv4-capable;system-ipv6-capable;system-ipv4-rfc1918;system-ipv6-stable-30d;system-ipv6-stable-1d;system-ipv4-stable-30d;system-ipv4-stable-90d;system-ipv6-stable-90d;system-ipv4-stable-1d
node_02218,home;nat;system-v1;system-resolves-a-correctly;system-resolves-aaaa-correctly;system-ipv4-works;system-ipv4-capable;system-ipv4-rfc1918;system-ipv4-stable-30d;system-ipv4-stable-90d;system-ipv4-stable-1d
node_02219,office;no-nat;system-v1;system-resolves-a-correctly;system-resolves-aaaa-correctly;system-ipv4-works;system-ipv6-works;system-ipv4-capable;system-ipv6-capable;system-ipv6-stable-30d;system-ipv6-stable-1d;system-ipv4-stable-30d;system-ipv4-stable-90d;system-ipv6-stable-90d;system-ipv4-stable-1d
node_02220,home;nat;ipv4;system-v1;system-resolves-a-correctly;system-resolves-aaaa-correctly;system-ipv4-works;system-ipv4-capable;system-ipv4-rfc1918;system-ipv4-stable-30d;system-ipv4-stable-90d;system-ipv4-stable-1d
