ip,tags
node_01078,home;nat;system-v1;system-ipv4-capable;system-ipv4-rfc1918
node_01079,fibre;home;nat;ftth;system-v1;system-resolves-a-correctly;system-resolves-aaaa-correctly;system-ipv4-works;system-ipv4-capable;system-ipv6-capable;system-ipv6-ula;system-ipv4-rfc1918;system-ipv4-stable-30d;system-ipv4-stable-90d;system-ipv4-stable-1d
node_01080,no-nat;system-v1;system-resolves-a-correctly;system-resolves-aaaa-correctly;system-ipv4-works;system-ipv6-works;system-ipv4-capable;system-ipv6-capable;system-ipv6-stable-30d;system-ipv6-stable-1d;system-ipv4-stable-30d;system-ipv4-stable-90d;system-ipv6-stable-90d;system-ipv4-stable-1d
node_01081,fibre;home;nat;native-ipv6;dual-stack;ipv4;ipv6;system-v1;system-resolves-a-correctly;system-resolves-aaaa-correctly;system-ipv4-works;system-ipv6-works;system-ipv4-capable;system-ipv6-capable;system-ipv4-rfc1918;system-ipv6-stable-30d;system-ipv6-stable-1d;system-ipv4-stable-30d;system-ipv4-stable-1d
node_01082,fibre;home;nat;ipv4;ipv6;free;system-v1;system-ipv4-works;system-ipv6-works;system-ipv4-capable;system-ipv6-capable;system-ipv4-rfc1918;system-ipv6-stable-1d;system-ipv4-stable-1d
node_01083,cable;home;system-v1;system-resolves-aaaa-correctly;system-ipv4-works;system-ipv4-capable;system-ipv6-capable;system-ipv6-ula;system-ipv4-rfc1918;system-ipv4-stable-30d;system-ipv4-stable-90d;system-ipv4-stable-1d
node_01084,dsl;home;nat;ipv4;vdsl2;system-v1;system-resolves-a-correctly;system-resolves-aaaa-correctly;system-ipv4-works;system-ipv4-capable;system-ipv4-rfc1918;system-ipv4-stable-30d;system-ipv4-stable-90d;system-ipv4-stable-1d
node_01085,cable;home;nat;ipv6;comcast;system-v1;system-resolves-a-correctly;system-resolves-aaaa-correctly;system-ipv4-works;system-ipv6-works;system-ipv4-capable;system-ipv6-capable;system-ipv4-rfc1918;system-ipv6-stable-30d;system-ipv6-stable-1d;system-ipv4-stable-30d;system-ipv4-stable-90d;system-ipv6-stable-90d;system-ipv4-stable-1d
node_01086,nat;system-v2;system-resolves-a-correctly;system-resolves-aaaa-correctly;system-ipv4-works;system-ipv4-capable;system-ipv4-rfc1918;system-ipv4-stable-30d;system-ipv4-stable-90d;system-ipv4-stable-1d
node_01087,home;nat;system-v2;system-resolves-a-correctly;system-resolves-aaaa-correctly;system-ipv4-works;system-ipv6-works;system-ipv4-capable;system-ipv6-capable;system-ipv4-rfc1918;system-ipv6-stable-30d;system-ipv6-stable-1d;system-ipv4-stable-30d;system-ipv4-stable-90d;system-ipv6-stable-90d;system-ipv4-stable-1d
node_01088,home;nat;system-v2;system-ipv4-capable;system-ipv4-rfc1918
node_01089,no-nat;system-v2;system-resolves-a-correctly;system-resolves-aaaa-correctly;system-ipv4-works;system-ipv4-capable;system-ipv4-stable-30d;system-ipv4-stable-90d;system-ipv4-stable-1d
node_01090,fibre;home;nat;system-v2;system-ipv4-capable;system-ipv6-capable;system-ipv4-rfc1918
node_01091,no-nat;system-v2;system-ipv4-capable;system-ipv4-rfc1918
node_01092,fibre;datacentre;no-nat;native-ipv6;dual-stack;ipv4;ipv6;multihomed;isp;system-v2;native-ipv4;system-ipv4-capable;system-ipv6-capable;as3491
node_01093,fibre;system-v2;system-resolves-a-correctly;system-resolves-aaaa-correctly;system-ipv4-works;system-ipv6-works;system-ipv4-capable;system-ipv6-capable;system-ipv4-rfc1918;system-ipv6-stable-30d;system-ipv6-stable-1d;system-ipv4-stable-30d;system-ipv4-stable-90d;system-ipv4-stable-1d
node_01094,mobile;nat;system-v2;system-ipv4-capable;system-ipv6-capable;system-ipv4-rfc1918
node_01095,no-nat;system-v2;system-resolves-a-correctly;system-resolves-aaaa-correctly;system-ipv4-works;system-ipv6-works;system-ipv4-capable;system-ipv6-capable;system-ipv6-stable-30d;system-ipv6-stable-1d;system-ipv4-stable-30d;system-ipv4-stable-90d;system-ipv6-stable-90d;system-ipv4-stable-1d
node_01096,nat;system-v2;system-resolves-a-correctly;system-resolves-aaaa-correctly;system-ipv4-works;system-ipv6-works;system-ipv4-capable;system-ipv6-capable;system-ipv4-rfc1918;system-ipv6-stable-30d;system-ipv6-stable-1d;system-ipv4-stable-30d;system-ipv4-stable-90d;system-ipv6-stable-90d;system-ipv4-stable-1d
node_01097,nat;system-v2;system-resolves-a-correctly;system-resolves-aaaa-correctly;system-ipv4-works;system-ipv4-capable;system-ipv4-rfc1918;system-ipv4-stable-30d;system-ipv4-stable-90d;system-ipv4-stable-1d
node_01098,nat;system-v2;system-resolves-a-correctly;system-resolves-aaaa-correctly;system-ipv4-works;system-ipv4-capable;system-ipv4-stable-30d;system-ipv4-stable-90d;system-ipv4-stable-1d
node_01099,fibre;datacentre;nat;native-ipv6;ipv6;isp;system-v2;system-ipv4-capable;system-ipv4-rfc1918
node_01100,home;nat;native-ipv6;vdsl;ipv4;ipv6;dtag;system-v3;system-resolves-a-correctly;system-resolves-aaaa-correctly;system-ipv4-works;system-ipv6-works;telekom;iwantbcp38compliancetesting;system-ipv4-capable;system-ipv6-capable;system-ipv4-rfc1918;pppoe;system-ipv6-stable-30d;system-ipv6-stable-1d;system-ipv4-stable-30d;system-ipv4-stable-90d;system-ipv6-stable-90d;system-ipv4-stable-1d
node_01101,cable;home;nat;native-ipv6;system-v3;system-resolves-a-correctly;system-resolves-aaaa-correctly;system-ipv4-works;native-ipv4;system-ipv4-capable;system-ipv4-stable-30d;system-ipv4-stable-1d
